certification_id,vendor_id,vendor_name,name,slug,route_identifier,rolemath_url,official_url,currentness_state,current_exam_code,current_version,current_source_url,current_checked_date,exam_fees_json,renewal_json,role_ids,occupation_ids,training_offer_count,known_unknowns_json
cert_comptia_tech_plus,comptia,CompTIA,CompTIA Tech+,comptia-tech-plus,/certifications/comptia/comptia-tech-plus,,https://www.comptia.org/en-us/certifications/tech/,current,FC0-U71,V6,https://www.comptia.org/en-us/certifications/tech/,2026-08-09,"[{""amount"":129.0,""currency"":""USD"",""scope"":""FC0-U71; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/tech/"",""checked_date"":""2026-08-09""}]","{""lifecycle_state"":""no_expiration"",""validity_years"":0.0,""model"":""Standard Tech+ FC0-U71 does not expire and does not require renewal; FC0-U71-CE is a separate five-year CE variant."",""fee"":0.0,""fee_unit"":""per_cycle"",""ce_credits"":null,""ce_period"":null,""source_url"":""https://www.comptia.org/en-us/certifications/tech/"",""checked_date"":""2026-08-09""}",role_help_desk_technician;role_it_support_specialist,occ_computer_user_support_specialists,0,[]
cert_comptia_a_plus,comptia,CompTIA,CompTIA A+,comptia-a-plus,/certifications/comptia/comptia-a-plus,https://rolemath.com/certifications/comptia/comptia-a-plus/,https://www.comptia.org/en-us/certifications/a/core-1-and-2-v15/,unresolved,220-1201 + 220-1202,V15,https://www.comptia.org/en-us/certifications/a/core-1-and-2-v15/,2026-06-13,"[{""amount"":274.0,""currency"":""USD"",""scope"":""220-1201; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/a/core-1-and-2-v15/"",""checked_date"":""2026-06-13""},{""amount"":274.0,""currency"":""USD"",""scope"":""220-1202; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/a/core-1-and-2-v15/"",""checked_date"":""2026-06-13""}]","{""lifecycle_state"":""time_limited"",""validity_years"":3.0,""model"":""Upload CEUs / CertMaster CE / or retake; fee waived by passing a higher CompTIA cert"",""fee"":75.0,""fee_unit"":""per_cycle"",""ce_credits"":20.0,""ce_period"":""per 3-year cycle"",""source_url"":""https://www.comptia.org/en-us/resources/ce/learn/continuing-education-renewal-fees/"",""checked_date"":""2026-06-14""}",role_help_desk_technician;role_it_support_specialist;role_technical_support_engineer;role_data_analyst,occ_business_intelligence_analysts;occ_computer_user_support_specialists,0,"[""RoleMath did not find an in-window attributable exam/version for the build date.""]"
cert_comptia_network_plus,comptia,CompTIA,CompTIA Network+,comptia-network-plus,/certifications/comptia/comptia-network-plus,https://rolemath.com/certifications/comptia/comptia-network-plus/,https://www.comptia.org/en-us/certifications/network/,current,N10-009,V9,https://www.comptia.org/en-us/certifications/network/,2026-08-09,"[{""amount"":399.0,""currency"":""USD"",""scope"":""N10-009; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/network/"",""checked_date"":""2026-06-13""}]","{""lifecycle_state"":""time_limited"",""validity_years"":3.0,""model"":""Upload qualifying CEUs and pay applicable CE fees, complete CertMaster CE, pass the latest exam, or earn a higher CompTIA certification that fully renews Network+"",""fee"":150.0,""fee_unit"":""per_cycle"",""ce_credits"":30.0,""ce_period"":""per 3-year cycle"",""source_url"":""https://www.comptia.org/en-us/resources/ce/learn/continuing-education-renewal-fees/"",""checked_date"":""2026-08-09""}",role_it_support_specialist;role_technical_support_engineer;role_network_administrator;role_junior_systems_administrator;role_cybersecurity_analyst;role_cloud_support_associate;role_network_security_engineer;role_network_automation_engineer,occ_computer_user_support_specialists;occ_information_security_analysts;occ_network_systems_administrators;occ_computer_network_architects;occ_information_security_engineers,0,[]
cert_comptia_security_plus,comptia,CompTIA,CompTIA Security+,comptia-security-plus,/certifications/comptia/comptia-security-plus,https://rolemath.com/certifications/comptia/comptia-security-plus/,https://www.comptia.org/en-us/certifications/security/,current,SY0-701,V7,https://www.comptia.org/en-us/certifications/security/,2026-06-19,"[{""amount"":439.0,""currency"":""USD"",""scope"":""SY0-701; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/security/"",""checked_date"":""2026-06-13""}]","{""lifecycle_state"":""time_limited"",""validity_years"":3.0,""model"":""Upload CEUs / CertMaster CE / or retake; fee waived by passing a higher CompTIA cert"",""fee"":150.0,""fee_unit"":""per_cycle"",""ce_credits"":50.0,""ce_period"":""per 3-year cycle"",""source_url"":""https://www.comptia.org/en-us/resources/ce/learn/continuing-education-renewal-fees/"",""checked_date"":""2026-06-14""}",role_cybersecurity_analyst;role_threat_intelligence_analyst;role_incident_response_analyst;role_soc_analyst;role_it_security_operations_specialist;role_network_security_engineer,occ_information_security_analysts;occ_information_security_engineers,5,[]
cert_comptia_linux_plus,comptia,CompTIA,CompTIA Linux+,comptia-linux-plus,/certifications/comptia/comptia-linux-plus,https://rolemath.com/certifications/comptia/comptia-linux-plus/,https://www.comptia.org/en-us/certifications/linux/,unresolved,XK0-006,V8,https://www.comptia.org/en-us/certifications/linux/,2026-08-09,"[{""amount"":399.0,""currency"":""USD"",""scope"":""XK0-006; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/linux/"",""checked_date"":""2026-06-08""}]","{""lifecycle_state"":""time_limited"",""validity_years"":3.0,""model"":""Upload CEUs / CertMaster CE / or retake; fee waived by passing a higher CompTIA cert"",""fee"":150.0,""fee_unit"":""per_cycle"",""ce_credits"":50.0,""ce_period"":""per 3-year cycle"",""source_url"":""https://www.comptia.org/en-us/resources/ce/learn/continuing-education-renewal-fees/"",""checked_date"":""2026-07-01""}",role_junior_systems_administrator;role_cloud_engineer;role_network_administrator,occ_computer_systems_engineers_architects;occ_network_systems_administrators,0,"[""RoleMath did not find an in-window attributable exam/version for the build date.""]"
cert_comptia_cloud_plus,comptia,CompTIA,CompTIA Cloud+,comptia-cloud-plus,/certifications/comptia/comptia-cloud-plus,https://rolemath.com/certifications/comptia/comptia-cloud-plus/,https://www.comptia.org/en-us/certifications/cloud/,unresolved,CV0-004,V4,https://www.comptia.org/en-us/certifications/cloud/,2026-08-09,"[{""amount"":399.0,""currency"":""USD"",""scope"":""CV0-004; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/cloud/"",""checked_date"":""2026-06-19""}]","{""lifecycle_state"":""time_limited"",""validity_years"":3.0,""model"":""Upload CEUs / CertMaster CE / or retake; fee waived by passing a higher CompTIA cert"",""fee"":150.0,""fee_unit"":""per_cycle"",""ce_credits"":null,""ce_period"":""per 3-year cycle"",""source_url"":""https://www.comptia.org/en-us/resources/ce/learn/continuing-education-renewal-fees/"",""checked_date"":""2026-06-19""}",role_cloud_engineer;role_cloud_support_associate;role_junior_systems_administrator,occ_computer_systems_engineers_architects;occ_computer_user_support_specialists;occ_network_systems_administrators,0,"[""RoleMath did not find an in-window attributable exam/version for the build date.""]"
cert_comptia_data_plus,comptia,CompTIA,CompTIA Data+,comptia-data-plus,/certifications/comptia/comptia-data-plus,,https://www.comptia.org/en-us/certifications/data/v2/,unresolved,DA0-002,V2,https://www.comptia.org/en-us/certifications/data/v2/,2026-08-09,"[{""amount"":264.0,""currency"":""USD"",""scope"":""DA0-002; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/data/v2/"",""checked_date"":""2026-06-08""}]","{""lifecycle_state"":""time_limited"",""validity_years"":3.0,""model"":""Upload CEUs / CertMaster CE / or retake; fee waived by passing a higher CompTIA cert"",""fee"":75.0,""fee_unit"":""per_cycle"",""ce_credits"":null,""ce_period"":""per 3-year cycle"",""source_url"":""https://www.comptia.org/en-us/resources/ce/learn/continuing-education-renewal-fees/"",""checked_date"":""2026-06-25""}",role_ai_specialist;role_data_analyst,occ_data_scientists;occ_business_intelligence_analysts,0,"[""RoleMath did not find an in-window attributable exam/version for the build date."",""No current official and genuinely free preparation resource is recorded.""]"
cert_comptia_project_plus,comptia,CompTIA,CompTIA Project+,comptia-project-plus,/certifications/comptia/comptia-project-plus,,https://www.comptia.org/en-us/certifications/project/,unresolved,PK0-005,V5,https://www.comptia.org/en-us/certifications/project/,2026-08-09,"[{""amount"":399.0,""currency"":""USD"",""scope"":""PK0-005; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/project/"",""checked_date"":""2026-06-08""}]","{""lifecycle_state"":""time_limited"",""validity_years"":3.0,""model"":""Upload CEUs / CertMaster CE / or retake; fee waived by passing a higher CompTIA cert"",""fee"":150.0,""fee_unit"":""per_cycle"",""ce_credits"":null,""ce_period"":""per 3-year cycle"",""source_url"":""https://www.comptia.org/en-us/resources/ce/learn/continuing-education-renewal-fees/"",""checked_date"":""2026-06-25""}",role_project_coordinator,occ_project_management_specialists,0,"[""RoleMath did not find an in-window attributable exam/version for the build date."",""No current official and genuinely free preparation resource is recorded.""]"
cert_comptia_cysa_plus,comptia,CompTIA,CompTIA CySA+,comptia-cysa-plus,/certifications/comptia/comptia-cysa-plus,https://rolemath.com/certifications/comptia/comptia-cysa-plus/,https://www.comptia.org/en-us/certifications/cybersecurity-analyst/v4/,unresolved,CS0-004,V4,https://www.comptia.org/en-us/certifications/cybersecurity-analyst/v4/,2026-08-09,"[{""amount"":439.0,""currency"":""USD"",""scope"":""CS0-004; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/cybersecurity-analyst/v4/"",""checked_date"":""2026-07-14""}]","{""lifecycle_state"":""time_limited"",""validity_years"":3.0,""model"":""Upload CEUs / CertMaster CE / or retake; fee waived by passing a higher CompTIA cert"",""fee"":150.0,""fee_unit"":""per_cycle"",""ce_credits"":60.0,""ce_period"":""per 3-year cycle"",""source_url"":""https://www.comptia.org/en-us/resources/ce/learn/continuing-education-renewal-fees/"",""checked_date"":""2026-07-01""}",role_threat_intelligence_analyst;role_incident_response_analyst;role_soc_analyst;role_it_security_operations_specialist;role_cybersecurity_analyst,occ_information_security_analysts,0,"[""RoleMath did not find an in-window attributable exam/version for the build date.""]"
cert_comptia_pentest_plus,comptia,CompTIA,CompTIA PenTest+,comptia-pentest-plus,/certifications/comptia/comptia-pentest-plus,https://rolemath.com/certifications/comptia/comptia-pentest-plus/,https://www.comptia.org/en-us/certifications/pentest/,unresolved,PT0-003,current,https://www.comptia.org/en-us/certifications/pentest/,2026-06-19,"[{""amount"":439.0,""currency"":""USD"",""scope"":""PT0-003; United States storefront"",""source_url"":""https://www.comptia.org/en-us/certifications/pentest/"",""checked_date"":""2026-06-19""}]","{""lifecycle_state"":""time_limited"",""validity_years"":3.0,""model"":""Upload CEUs / CertMaster CE / or retake; fee waived by passing a higher CompTIA cert"",""fee"":150.0,""fee_unit"":""per_cycle"",""ce_credits"":null,""ce_period"":""per 3-year cycle"",""source_url"":""https://www.comptia.org/en-us/resources/ce/learn/continuing-education-renewal-fees/"",""checked_date"":""2026-07-01""}",role_cybersecurity_analyst,occ_information_security_analysts,0,"[""RoleMath did not find an in-window attributable exam/version for the build date.""]"
